Day,Row,Column,Pesticide,SoilType,BodyBurden,Soil,Weight,Total,Formulation,Parent
3,1,A,FipS,PLE,0.014352761,0.046888419,10.7426,0,0,0
3,1,I,FipS,PLE,0.077771365,0.048,10.8321,0,0,0
3,4,H,FipS,PLE,0.026429176,0.043928407,23.3405,0,0,0
3,7,A,FipS,PLE,0.019190603,0.045761577,11.3478,0,0,0
3,7,C,FipS,PLE,0.048622666,0.068583218,11.2404,0,0,0
3,7,E,FipS,PLE,0.015583877,0.037117679,7.3804,0,0,0
3,2,G,FipS,OLS,0.073667252,0.021721125,8.5539,0,0,0
3,3,A,FipS,OLS,0.009679546,0.02664758,12.178,0,0,0
3,5,B,FipS,OLS,0.044189069,0.032675816,11.465,0,0,0
3,6,C,FipS,OLS,0.073104932,0.030233914,13.1914,0,0,0
3,6,G,FipS,OLS,0.103184071,0.031727472,11.7796,0,0,0
3,7,I,FipS,OLS,0.065440077,0.034498224,9.0658,0,0,0
0,1,B,TNDTOT,PLE,0.115492748,5.213751666,12.4407,1,0,1
0,1,G,TNDTOT,PLE,0.089322481,8.969771357,10.5903,1,0,1
0,2,F,TNDTOT,PLE,0.426705134,5.190326785,13.9438,1,0,1
0,4,G,TNDTOT,PLE,0.119037947,4.831822198,8.8434,1,0,1
0,5,C,TNDTOT,PLE,0.175676804,3.108359096,9.5231,1,0,1
0,7,D,TNDTOT,PLE,0.165848057,3.280654333,11.5642,1,0,1
0,2,B,TNDTOT,OLS,0.388854872,3.389932459,13.2227,1,0,1
0,2,E,TNDTOT,OLS,0.369952253,6.291932781,8.1326,1,0,1
0,2,I,TNDTOT,OLS,0.259962468,4.692698035,10.8067,1,0,1
0,5,D,TNDTOT,OLS,0.486458171,2.191303526,11.4182,1,0,1
0,6,I,TNDTOT,OLS,0.189434186,6.594152401,12.0198,1,0,1
0,7,F,TNDTOT,OLS,0.273508383,3.866282728,14.0841,1,0,1
0,1,C,TNDTOT,PLE,0.103279426,3.806583386,15.0158,1,1,1
0,3,I,TNDTOT,PLE,0.071629345,8.660951317,14.8152,1,1,1
3,4,A,TNDTOT,PLE,0.105756154,2.629241417,13.8218,1,1,1
3,4,I,TNDTOT,PLE,0.026010568,7.05712632,7.1089,1,1,1
3,6,A,TNDTOT,PLE,0.21362006,5.763070813,7.9909,1,1,1
3,6,E,TNDTOT,PLE,0.141794761,8.179491858,12.1126,1,1,1
3,1,H,TNDTOT,OLS,0.10558682,3.623115759,11.4482,1,1,1
3,3,C,TNDTOT,OLS,0.218474134,6.887993016,7.533,1,1,1
3,5,A,TNDTOT,OLS,0.119080734,5.640249186,15.9483,1,1,1
3,6,B,TNDTOT,OLS,0.474085035,3.11171161,10.4409,1,1,1
3,6,D,TNDTOT,OLS,0.142626446,3.832105687,11.141,1,1,1
3,7,G,TNDTOT,OLS,0.04358855,5.388595843,12.2923,1,1,1
3,1,B,TDLA,PLE,0.017791352,0.048986516,12.4407,0,0,0
3,1,G,TDLA,PLE,-0.010318143,0.150571495,10.5903,0,0,0
3,2,F,TDLA,PLE,0.108952663,0.043897558,13.9438,0,0,0
3,4,G,TDLA,PLE,0.008676441,0.051714237,8.8434,0,0,0
3,5,C,TDLA,PLE,0.021333696,-0.006319805,9.5231,0,0,0
3,7,D,TDLA,PLE,0.018829419,-0.007915859,11.5642,0,0,0
3,2,B,TDLA,OLS,0.10902924,0.017607762,13.2227,0,0,0
3,2,E,TDLA,OLS,0.069287823,-0.001445107,8.1326,0,0,0
3,2,I,TDLA,OLS,0.073094282,-0.009378172,10.8067,0,0,0
3,5,D,TDLA,OLS,0.153304993,-0.015057855,11.4182,0,0,0
3,6,I,TDLA,OLS,0.023561872,-0.041538386,12.0198,0,0,0
3,7,F,TDLA,OLS,0.042424881,-0.021787085,14.0841,0,0,0
3,1,C,STRIKEA,PLE,0.024159174,0.004561962,15.0158,0,1,0
3,3,I,STRIKEA,PLE,0.005981046,-0.01117111,14.8152,0,1,0
3,4,A,STRIKEA,PLE,0.011079523,-0.028486697,13.8218,0,1,0
3,4,I,STRIKEA,PLE,-0.02824179,0.002474536,7.1089,0,1,0
3,6,A,STRIKEA,PLE,0.035625349,-0.019519217,7.9909,0,1,0
3,6,E,STRIKEA,PLE,0.01453954,-0.004788974,12.1126,0,1,0
3,1,H,STRIKEA,OLS,0.013694211,-0.026968965,11.4482,0,1,0
3,3,C,STRIKEA,OLS,0.055403605,-0.033324841,7.533,0,1,0
3,5,A,STRIKEA,OLS,0.004702371,-0.063421977,15.9483,0,1,0
3,6,B,STRIKEA,OLS,0.148766705,-0.080624218,10.4409,0,1,0
3,6,D,STRIKEA,OLS,0.028578242,-0.040727511,11.141,0,1,0
3,7,G,STRIKEA,OLS,-0.010318143,-0.058567956,12.2923,0,1,0
3,1,,TDLB,PLE,0.043018482,0.490399799,12.4407,0,0,0
3,1,B,TDLB,PLE,0.045634518,0.988372221,10.5903,0,0,0
3,2,G,TDLB,PLE,0.189513197,0.510491432,13.9438,0,0,0
3,4,F,TDLB,PLE,0.0651025,0.578505204,8.8434,0,0,0
3,5,G,TDLB,PLE,0.076235088,0.242908011,9.5231,0,0,0
3,7,C,TDLB,PLE,0.061930126,0.182685826,11.5642,0,0,0
3,2,D,TDLB,OLS,0.220901795,0.106862128,13.2227,0,0,0
3,2,B,TDLB,OLS,0.136575347,0.048705034,8.1326,0,0,0
3,2,E,TDLB,OLS,0.14142168,0.036733164,10.8067,0,0,0
3,5,I,TDLB,OLS,0.261939704,-0.004573528,11.4182,0,0,0
3,6,D,TDLB,OLS,0.062462507,-0.040063796,12.0198,0,0,0
3,7,I,TDLB,OLS,0.138604689,0.00217416,14.0841,0,0,0
